model,threshold,net_benefit,treat_all_nb,advantage
SVM,0.4562,0.28077348878096725,0.00514527615008703,0.2756282126308802
SVM,0.4612,0.2788316987615434,-0.004008876798625549,0.28284057556016895
SVM,0.4661,0.2768538421244126,-0.013333058087956429,0.29018690021236904
SVM,0.4711,0.27483890460339533,-0.02283204925846638,0.2976709538618617
SVM,0.4761,0.2727858335414831,-0.032510812836052394,0.3052966463775355
SVM,0.481,0.27069353605707974,-0.042374500976811336,0.3130680370338911
SVM,0.486,0.2685608771041199,-0.05242846461219347,0.3209893417163134
SVM,0.4909,0.26638667741883104,-0.06267826312855512,0.32906494054738616
SVM,0.4959,0.2641697113453335,-0.07312967461790082,0.33729938596323433
SVM,0.5008,0.24551526190870454,-0.08378870673952649,0.329303968648231
SVM,0.5058,0.24320888886411085,-0.09466160823546804,0.3378704970995789
SVM,0.5108,0.2579700514160533,-0.10575488114613335,0.36372493256218663
SVM,0.5157,0.23951835195125493,-0.11707529377629472,0.35659364572754965
SVM,0.5207,0.23741751546225828,-0.12862989446577616,0.3660474099280344
SVM,0.5256,0.23527276423354482,-0.1404260262237002,0.375698790457245
SVM,0.5306,0.2516126381527589,-0.15247134229015175,0.40408398044291066
SVM,0.5355,0.2497486259702741,-0.1647738226945516,0.4145224486648257
SVM,0.5405,0.24784438821399019,-0.17734179188602545,0.42518618010001563
SVM,0.5455,0.24589860857284002,-0.19018393751761647,0.4360825460904565
SVM,0.5504,0.24390991267044582,-0.20330933047341831,0.44721924314386413
SVM,0.5554,0.2418768648276845,-0.21672744623564294,0.45860431106332744
SVM,0.5603,0.23979796460620645,-0.2304481876973981,0.47024615230360456
SVM,0.5653,0.23767164311541958,-0.2444819095365915,0.4821535526520111
SVM,0.5703,0.2354962590638363,-0.25883944427704103,0.49433570334087734
SVM,0.5752,0.23327009453389763,-0.27353213017463623,0.5068022247085339
SVM,0.5802,0.21459790783446428,-0.28857184107942085,0.5031697489138851
SVM,0.5851,0.21226469914363602,-0.30397101843888746,0.5162357175825235
SVM,0.5901,0.20987504957016778,-0.31974270562377777,0.5296177551939456
SVM,0.595,0.20742688606234205,-0.3359005847754278,0.5433274708377698
SVM,0.6,0.20491803278688525,-0.3524590163934425,0.5573770491803278
Random Forest,0.01,0.453551912568306,0.453551912568306,0.0
Random Forest,0.015,0.4508014913809259,0.4508014913809259,0.0
Random Forest,0.0199,0.44802324290210177,0.44802324290210177,0.0
Random Forest,0.0249,0.4452167426721142,0.4452167426721142,0.0
Random Forest,0.0298,0.4423815575545442,0.4423815575545442,0.0
Random Forest,0.0348,0.4395172455134262,0.4395172455134262,0.0
Random Forest,0.0397,0.4366233553834964,0.4366233553834964,0.0
Random Forest,0.0447,0.4336994266332876,0.4336994266332876,0.0
Random Forest,0.0497,0.4307449891208076,0.4307449891208076,0.0
Random Forest,0.0546,0.42775956284153005,0.42775956284153005,0.0
Random Forest,0.0596,0.4247426576684133,0.4247426576684133,0.0
Random Forest,0.0645,0.4216937730836519,0.4216937730836519,0.0
Random Forest,0.0695,0.41861239790185256,0.41861239790185256,0.0
Random Forest,0.0745,0.41813548776966425,0.4154980099843121,0.0026374777853521714
Random Forest,0.0794,0.41659246844393233,0.41235007594406325,0.004242392499869074
Random Forest,0.0844,0.4167208300233504,0.4091680508413375,0.007552779182012914
Random Forest,0.0893,0.4155995625188146,0.40595137786907937,0.009648184649735214
Random Forest,0.0943,0.41464549826756997,0.4026994880281326,0.011946010239437366
